room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude,location,year_modified,month_modified
5557699,1480,28812904,shared room,lisbon,santa maria maior,24,4.0,1,1.0,15.0,lisbon cozy flat bunk beds 1,2017-07-28 01:19:35.258422,38.712782,-9.137569,0101000020e610000008e3a7716f4622c0b796c9703c5b4340,2017,7
12826043,1480,6981742,shared room,lisbon,alvalade,6,4.5,2,1.0,38.0,miniroom2 in dorm in nesha guesthouse lisbon,2017-07-28 01:19:35.256336,38.747595,-9.135601,0101000020e61000001b9c887e6d4522c099d36531b15f4340,2017,7
13219674,1480,73826302,shared room,lisbon,arroios,21,4.5,4,1.0,14.0,fly to lisbon hostel 4 mixed bed dorm,2017-07-28 01:19:35.252954,38.72699,-9.141158,0101000020e6100000362383dc454822c0704221020e5d4340,2017,7
16150682,1480,58899339,shared room,lisbon,avenidas novas,5,4.5,9,1.0,24.0,dormit rio misto,2017-07-28 01:19:35.249495,38.735217,-9.144291,0101000020e6100000db368c82e04922c04b3b35971b5e4340,2017,7
12268067,1480,66077974,shared room,lisbon,arroios,103,5.0,1,1.0,24.0,be lisbon hostel,2017-07-28 01:19:35.247393,38.731514,-9.138977,0101000020e6100000daca4bfe274722c077483140a25d4340,2017,7
18154042,1480,124601372,shared room,lisbon,avenidas novas,1,0.0,6,1.0,30.0,brother s hostel,2017-07-28 01:19:35.243546,38.727408,-9.14877,0101000020e61000007940d9942b4c22c0a46c91b41b5d4340,2017,7
14103514,1480,84472028,shared room,lisbon,são vicente,11,4.5,1,1.0,18.0,lisboa arte hostel shared room 2,2017-07-28 01:19:35.240960,38.714905,-9.122155,0101000020e6100000f415a4198b3e22c09a5fcd01825b4340,2017,7
18002891,1480,25913998,shared room,lisbon,arroios,0,0.0,1,1.0,18.0,room gani bairo alto two,2017-07-28 01:19:35.238649,38.725793,-9.133965,0101000020e6100000069e7b0f974422c03755f7c8e65c4340,2017,7
3420550,1480,5799522,shared room,lisbon,santo antónio,10,4.0,9,1.0,20.0,9 bed shared dorm,2017-07-28 01:19:35.233944,38.723686,-9.142573,0101000020e6100000d1950854ff4822c05a492bbea15c4340,2017,7
18346190,1480,107813252,shared room,lisbon,areeiro,1,0.0,3,1.0,20.0,beautiful room near downtown lisbon,2017-07-28 01:19:31.086137,38.73863,-9.13033,0101000020e610000018601f9dba4222c018ec866d8b5e4340,2017,7
